group,function,value,sample_time_nanos,iteration_count
Generate grid 50 (my method),,,986395.0,151
Generate grid 50 (my method),,,1971890.0,302
Generate grid 50 (my method),,,2958113.0,453
Generate grid 50 (my method),,,3943305.0,604
Generate grid 50 (my method),,,4930310.0,755
Generate grid 50 (my method),,,5914717.0,906
Generate grid 50 (my method),,,6914212.0,1057
Generate grid 50 (my method),,,7893691.0,1208
Generate grid 50 (my method),,,8879641.0,1359
Generate grid 50 (my method),,,9861217.0,1510
Generate grid 50 (my method),,,10845516.0,1661
Generate grid 50 (my method),,,11831893.0,1812
Generate grid 50 (my method),,,12817229.0,1963
Generate grid 50 (my method),,,13809766.0,2114
Generate grid 50 (my method),,,14788402.0,2265
Generate grid 50 (my method),,,15774178.0,2416
Generate grid 50 (my method),,,16760853.0,2567
Generate grid 50 (my method),,,17747824.0,2718
Generate grid 50 (my method),,,18732043.0,2869
Generate grid 50 (my method),,,19718657.0,3020
Generate grid 50 (my method),,,20704749.0,3171
Generate grid 50 (my method),,,21715179.0,3322
Generate grid 50 (my method),,,22675643.0,3473
Generate grid 50 (my method),,,23663895.0,3624
Generate grid 50 (my method),,,24649817.0,3775
Generate grid 50 (my method),,,25634094.0,3926
Generate grid 50 (my method),,,26624696.0,4077
Generate grid 50 (my method),,,27610415.0,4228
Generate grid 50 (my method),,,28594870.0,4379
Generate grid 50 (my method),,,29577992.0,4530
Generate grid 50 (my method),,,30564431.0,4681
Generate grid 50 (my method),,,31551766.0,4832
Generate grid 50 (my method),,,32535501.0,4983
Generate grid 50 (my method),,,33521827.0,5134
Generate grid 50 (my method),,,34514139.0,5285
Generate grid 50 (my method),,,35517775.0,5436
Generate grid 50 (my method),,,36515653.0,5587
Generate grid 50 (my method),,,37466348.0,5738
Generate grid 50 (my method),,,38455696.0,5889
Generate grid 50 (my method),,,39452932.0,6040
Generate grid 50 (my method),,,40422162.0,6191
Generate grid 50 (my method),,,41415324.0,6342
Generate grid 50 (my method),,,42392883.0,6493
Generate grid 50 (my method),,,43382202.0,6644
Generate grid 50 (my method),,,44366984.0,6795
Generate grid 50 (my method),,,45349307.0,6946
Generate grid 50 (my method),,,46344504.0,7097
Generate grid 50 (my method),,,47326749.0,7248
Generate grid 50 (my method),,,48309297.0,7399
Generate grid 50 (my method),,,49321056.0,7550
Generate grid 50 (my method),,,50285143.0,7701
Generate grid 50 (my method),,,51269533.0,7852
Generate grid 50 (my method),,,52260347.0,8003
Generate grid 50 (my method),,,53245141.0,8154
Generate grid 50 (my method),,,54225307.0,8305
Generate grid 50 (my method),,,55216162.0,8456
Generate grid 50 (my method),,,56202620.0,8607
Generate grid 50 (my method),,,57260977.0,8758
Generate grid 50 (my method),,,58170096.0,8909
Generate grid 50 (my method),,,59164646.0,9060
Generate grid 50 (my method),,,60141081.0,9211
Generate grid 50 (my method),,,61128441.0,9362
Generate grid 50 (my method),,,62114203.0,9513
Generate grid 50 (my method),,,63100671.0,9664
Generate grid 50 (my method),,,64094100.0,9815
Generate grid 50 (my method),,,65074861.0,9966
Generate grid 50 (my method),,,66090735.0,10117
Generate grid 50 (my method),,,67054241.0,10268
Generate grid 50 (my method),,,68030200.0,10419
Generate grid 50 (my method),,,69019418.0,10570
Generate grid 50 (my method),,,69999360.0,10721
Generate grid 50 (my method),,,70986050.0,10872
Generate grid 50 (my method),,,72000978.0,11023
Generate grid 50 (my method),,,72997007.0,11174
Generate grid 50 (my method),,,73952824.0,11325
Generate grid 50 (my method),,,74931233.0,11476
Generate grid 50 (my method),,,75914914.0,11627
Generate grid 50 (my method),,,76904285.0,11778
Generate grid 50 (my method),,,77897517.0,11929
Generate grid 50 (my method),,,78873657.0,12080
Generate grid 50 (my method),,,80105618.0,12231
Generate grid 50 (my method),,,81215087.0,12382
Generate grid 50 (my method),,,82113949.0,12533
Generate grid 50 (my method),,,82817231.0,12684
Generate grid 50 (my method),,,83814883.0,12835
Generate grid 50 (my method),,,84850742.0,12986
Generate grid 50 (my method),,,85805551.0,13137
Generate grid 50 (my method),,,86767070.0,13288
Generate grid 50 (my method),,,87750430.0,13439
Generate grid 50 (my method),,,88736371.0,13590
Generate grid 50 (my method),,,89858914.0,13741
Generate grid 50 (my method),,,90713731.0,13892
Generate grid 50 (my method),,,91713699.0,14043
Generate grid 50 (my method),,,92689349.0,14194
Generate grid 50 (my method),,,93663838.0,14345
Generate grid 50 (my method),,,94647843.0,14496
Generate grid 50 (my method),,,95701256.0,14647
Generate grid 50 (my method),,,96623165.0,14798
Generate grid 50 (my method),,,97609199.0,14949
Generate grid 50 (my method),,,98600974.0,15100
