group,function,value,sample_time_nanos,iteration_count
Generate grid 100 (my method),,,1014974.0,38
Generate grid 100 (my method),,,2028230.0,76
Generate grid 100 (my method),,,3042398.0,114
Generate grid 100 (my method),,,4057023.0,152
Generate grid 100 (my method),,,5070980.0,190
Generate grid 100 (my method),,,6086042.0,228
Generate grid 100 (my method),,,7113524.0,266
Generate grid 100 (my method),,,8114247.0,304
Generate grid 100 (my method),,,9134142.0,342
Generate grid 100 (my method),,,10143733.0,380
Generate grid 100 (my method),,,11158048.0,418
Generate grid 100 (my method),,,12168974.0,456
Generate grid 100 (my method),,,13185195.0,494
Generate grid 100 (my method),,,14198052.0,532
Generate grid 100 (my method),,,15212823.0,570
Generate grid 100 (my method),,,16227894.0,608
Generate grid 100 (my method),,,17244570.0,646
Generate grid 100 (my method),,,18257276.0,684
Generate grid 100 (my method),,,19275325.0,722
Generate grid 100 (my method),,,20282343.0,760
Generate grid 100 (my method),,,21296335.0,798
Generate grid 100 (my method),,,22309373.0,836
Generate grid 100 (my method),,,23326697.0,874
Generate grid 100 (my method),,,24341609.0,912
Generate grid 100 (my method),,,25353293.0,950
Generate grid 100 (my method),,,26372355.0,988
Generate grid 100 (my method),,,27384088.0,1026
Generate grid 100 (my method),,,28399238.0,1064
Generate grid 100 (my method),,,29414050.0,1102
Generate grid 100 (my method),,,30424197.0,1140
Generate grid 100 (my method),,,31575212.0,1178
Generate grid 100 (my method),,,32456350.0,1216
Generate grid 100 (my method),,,33482712.0,1254
Generate grid 100 (my method),,,34485712.0,1292
Generate grid 100 (my method),,,35500347.0,1330
Generate grid 100 (my method),,,36513132.0,1368
Generate grid 100 (my method),,,37531420.0,1406
Generate grid 100 (my method),,,38540738.0,1444
Generate grid 100 (my method),,,39555410.0,1482
Generate grid 100 (my method),,,40569505.0,1520
Generate grid 100 (my method),,,41590334.0,1558
Generate grid 100 (my method),,,42601497.0,1596
Generate grid 100 (my method),,,43615063.0,1634
Generate grid 100 (my method),,,44627850.0,1672
Generate grid 100 (my method),,,45646606.0,1710
Generate grid 100 (my method),,,46659787.0,1748
Generate grid 100 (my method),,,47671695.0,1786
Generate grid 100 (my method),,,48687239.0,1824
Generate grid 100 (my method),,,49703149.0,1862
Generate grid 100 (my method),,,50717712.0,1900
Generate grid 100 (my method),,,51732016.0,1938
Generate grid 100 (my method),,,52748009.0,1976
Generate grid 100 (my method),,,53757475.0,2014
Generate grid 100 (my method),,,55044753.0,2052
Generate grid 100 (my method),,,55791156.0,2090
Generate grid 100 (my method),,,56804473.0,2128
Generate grid 100 (my method),,,57812307.0,2166
Generate grid 100 (my method),,,58827280.0,2204
Generate grid 100 (my method),,,59843143.0,2242
Generate grid 100 (my method),,,60862824.0,2280
Generate grid 100 (my method),,,61896503.0,2318
Generate grid 100 (my method),,,62900098.0,2356
Generate grid 100 (my method),,,63908334.0,2394
Generate grid 100 (my method),,,64938378.0,2432
Generate grid 100 (my method),,,65951808.0,2470
Generate grid 100 (my method),,,66955977.0,2508
Generate grid 100 (my method),,,67965095.0,2546
Generate grid 100 (my method),,,68975726.0,2584
Generate grid 100 (my method),,,69985144.0,2622
Generate grid 100 (my method),,,71026485.0,2660
Generate grid 100 (my method),,,72012922.0,2698
Generate grid 100 (my method),,,73030381.0,2736
Generate grid 100 (my method),,,74047341.0,2774
Generate grid 100 (my method),,,75078092.0,2812
Generate grid 100 (my method),,,76080408.0,2850
Generate grid 100 (my method),,,77083997.0,2888
Generate grid 100 (my method),,,78104936.0,2926
Generate grid 100 (my method),,,79124120.0,2964
Generate grid 100 (my method),,,80125229.0,3002
Generate grid 100 (my method),,,81143007.0,3040
Generate grid 100 (my method),,,82153148.0,3078
Generate grid 100 (my method),,,83171476.0,3116
Generate grid 100 (my method),,,84336653.0,3154
Generate grid 100 (my method),,,85277440.0,3192
Generate grid 100 (my method),,,86207608.0,3230
Generate grid 100 (my method),,,87214596.0,3268
Generate grid 100 (my method),,,88267768.0,3306
Generate grid 100 (my method),,,89242139.0,3344
Generate grid 100 (my method),,,90297088.0,3382
Generate grid 100 (my method),,,91277207.0,3420
Generate grid 100 (my method),,,92279653.0,3458
Generate grid 100 (my method),,,93296950.0,3496
Generate grid 100 (my method),,,94317085.0,3534
Generate grid 100 (my method),,,95363126.0,3572
Generate grid 100 (my method),,,96808308.0,3610
Generate grid 100 (my method),,,97523141.0,3648
Generate grid 100 (my method),,,98563041.0,3686
Generate grid 100 (my method),,,99420070.0,3724
Generate grid 100 (my method),,,100416618.0,3762
Generate grid 100 (my method),,,101490195.0,3800
