group,function,value,sample_time_nanos,iteration_count
Generate grid 128 (my method),,,1004741.0,23
Generate grid 128 (my method),,,2008042.0,46
Generate grid 128 (my method),,,3012673.0,69
Generate grid 128 (my method),,,4017951.0,92
Generate grid 128 (my method),,,5023357.0,115
Generate grid 128 (my method),,,6027389.0,138
Generate grid 128 (my method),,,7045513.0,161
Generate grid 128 (my method),,,8038657.0,184
Generate grid 128 (my method),,,9042544.0,207
Generate grid 128 (my method),,,10045477.0,230
Generate grid 128 (my method),,,11050672.0,253
Generate grid 128 (my method),,,12057055.0,276
Generate grid 128 (my method),,,13060854.0,299
Generate grid 128 (my method),,,14065928.0,322
Generate grid 128 (my method),,,15070070.0,345
Generate grid 128 (my method),,,16075142.0,368
Generate grid 128 (my method),,,17085477.0,391
Generate grid 128 (my method),,,18094285.0,414
Generate grid 128 (my method),,,19105443.0,437
Generate grid 128 (my method),,,20110171.0,460
Generate grid 128 (my method),,,21102637.0,483
Generate grid 128 (my method),,,22127903.0,506
Generate grid 128 (my method),,,23145879.0,529
Generate grid 128 (my method),,,24131483.0,552
Generate grid 128 (my method),,,25266413.0,575
Generate grid 128 (my method),,,26132076.0,598
Generate grid 128 (my method),,,27132206.0,621
Generate grid 128 (my method),,,28132125.0,644
Generate grid 128 (my method),,,29138981.0,667
Generate grid 128 (my method),,,30143631.0,690
Generate grid 128 (my method),,,31141768.0,713
Generate grid 128 (my method),,,32149227.0,736
Generate grid 128 (my method),,,33152961.0,759
Generate grid 128 (my method),,,34162170.0,782
Generate grid 128 (my method),,,35159539.0,805
Generate grid 128 (my method),,,36169281.0,828
Generate grid 128 (my method),,,37203595.0,851
Generate grid 128 (my method),,,38208761.0,874
Generate grid 128 (my method),,,39214659.0,897
Generate grid 128 (my method),,,40182099.0,920
Generate grid 128 (my method),,,41192164.0,943
Generate grid 128 (my method),,,42199869.0,966
Generate grid 128 (my method),,,43196941.0,989
Generate grid 128 (my method),,,44201179.0,1012
Generate grid 128 (my method),,,45204722.0,1035
Generate grid 128 (my method),,,46209015.0,1058
Generate grid 128 (my method),,,47213995.0,1081
Generate grid 128 (my method),,,48229339.0,1104
Generate grid 128 (my method),,,49229339.0,1127
Generate grid 128 (my method),,,50237234.0,1150
Generate grid 128 (my method),,,51520479.0,1173
Generate grid 128 (my method),,,52243647.0,1196
Generate grid 128 (my method),,,53245519.0,1219
Generate grid 128 (my method),,,54240412.0,1242
Generate grid 128 (my method),,,55242765.0,1265
Generate grid 128 (my method),,,56255165.0,1288
Generate grid 128 (my method),,,57256811.0,1311
Generate grid 128 (my method),,,58293391.0,1334
Generate grid 128 (my method),,,59297377.0,1357
Generate grid 128 (my method),,,60302234.0,1380
Generate grid 128 (my method),,,61288712.0,1403
Generate grid 128 (my method),,,62632944.0,1426
Generate grid 128 (my method),,,63409941.0,1449
Generate grid 128 (my method),,,64391602.0,1472
Generate grid 128 (my method),,,65414789.0,1495
Generate grid 128 (my method),,,66301868.0,1518
Generate grid 128 (my method),,,67397634.0,1541
Generate grid 128 (my method),,,69499313.0,1564
Generate grid 128 (my method),,,70070010.0,1587
Generate grid 128 (my method),,,70958704.0,1610
Generate grid 128 (my method),,,71852876.0,1633
Generate grid 128 (my method),,,72715923.0,1656
Generate grid 128 (my method),,,73600364.0,1679
Generate grid 128 (my method),,,74537333.0,1702
Generate grid 128 (my method),,,75966740.0,1725
Generate grid 128 (my method),,,76687233.0,1748
Generate grid 128 (my method),,,77552157.0,1771
Generate grid 128 (my method),,,78418827.0,1794
Generate grid 128 (my method),,,79398683.0,1817
Generate grid 128 (my method),,,80359869.0,1840
Generate grid 128 (my method),,,81535391.0,1863
Generate grid 128 (my method),,,82358792.0,1886
Generate grid 128 (my method),,,83355908.0,1909
Generate grid 128 (my method),,,84367968.0,1932
Generate grid 128 (my method),,,85368917.0,1955
Generate grid 128 (my method),,,86434777.0,1978
Generate grid 128 (my method),,,87380607.0,2001
Generate grid 128 (my method),,,88400003.0,2024
Generate grid 128 (my method),,,89389297.0,2047
Generate grid 128 (my method),,,90490980.0,2070
Generate grid 128 (my method),,,91472300.0,2093
Generate grid 128 (my method),,,92397283.0,2116
Generate grid 128 (my method),,,93438910.0,2139
Generate grid 128 (my method),,,94490876.0,2162
Generate grid 128 (my method),,,95486522.0,2185
Generate grid 128 (my method),,,96414680.0,2208
Generate grid 128 (my method),,,97569123.0,2231
Generate grid 128 (my method),,,98505874.0,2254
Generate grid 128 (my method),,,99433589.0,2277
Generate grid 128 (my method),,,100514070.0,2300
